/root/miniconda3/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa/data/train-00000-of-00001-1028f23e353fbe3e.parquet']
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa/data/test-00000-of-00001-f0e719df791966ff.parquet']
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa/data/test-00000-of-00001-f0e719df791966ff.parquet']
[2026-02-25 15:26:21] Running dummy_scienceqa/liquid_clip_run on device=cpu
[2026-02-25 15:26:26] [dummy_scienceqa/liquid_clip_run] epoch=1 step=20 loss=0.9689 acc=0.4000
[2026-02-25 15:26:35] [dummy_scienceqa/liquid_clip_run] epoch=1 step=40 loss=0.9576 acc=0.4359
[2026-02-25 15:26:45] [dummy_scienceqa/liquid_clip_run] epoch=1 step=60 loss=0.9579 acc=0.4021
[2026-02-25 15:26:56] [dummy_scienceqa/liquid_clip_run] epoch=1 step=80 loss=0.9606 acc=0.3945
[2026-02-25 15:27:07] [dummy_scienceqa/liquid_clip_run] epoch=1 step=100 loss=0.9588 acc=0.3962
[2026-02-25 15:27:18] [dummy_scienceqa/liquid_clip_run] epoch=1 step=120 loss=0.9551 acc=0.4000
[2026-02-25 15:27:29] [dummy_scienceqa/liquid_clip_run] epoch=1 step=140 loss=0.9564 acc=0.4000
[2026-02-25 15:27:41] [dummy_scienceqa/liquid_clip_run] epoch=1 step=160 loss=0.9560 acc=0.3965
[2026-02-25 15:27:53] [dummy_scienceqa/liquid_clip_run] epoch=1 step=180 loss=0.9563 acc=0.3983
[2026-02-25 15:28:04] [dummy_scienceqa/liquid_clip_run] epoch=1 step=200 loss=0.9565 acc=0.4006
[2026-02-25 15:28:17] [dummy_scienceqa/liquid_clip_run] epoch=1 step=220 loss=0.9562 acc=0.4060
[2026-02-25 15:28:30] [dummy_scienceqa/liquid_clip_run] epoch=1 step=240 loss=0.9567 acc=0.4029
[2026-02-25 15:28:44] [dummy_scienceqa/liquid_clip_run] epoch=1 step=260 loss=0.9573 acc=0.4041
[2026-02-25 15:28:57] [dummy_scienceqa/liquid_clip_run] epoch=1 step=280 loss=0.9564 acc=0.4018
[2026-02-25 15:29:11] [dummy_scienceqa/liquid_clip_run] epoch=1 step=300 loss=0.9576 acc=0.3992
[2026-02-25 15:29:23] [dummy_scienceqa/liquid_clip_run] epoch=1 step=320 loss=0.9589 acc=0.3977
[2026-02-25 15:29:36] [dummy_scienceqa/liquid_clip_run] epoch=1 step=340 loss=0.9584 acc=0.3972
[2026-02-25 15:29:46] [dummy_scienceqa/liquid_clip_run] epoch=1 step=360 loss=0.9586 acc=0.3977
[2026-02-25 15:29:57] [dummy_scienceqa/liquid_clip_run] epoch=1 step=380 loss=0.9596 acc=0.3959
[2026-02-25 15:30:08] [dummy_scienceqa/liquid_clip_run] epoch=1 step=400 loss=0.9603 acc=0.3950
[2026-02-25 15:30:17] [dummy_scienceqa/liquid_clip_run] epoch=1 step=420 loss=0.9601 acc=0.3930
[2026-02-25 15:30:24] [dummy_scienceqa/liquid_clip_run] epoch=1 step=440 loss=0.9597 acc=0.3947
[2026-02-25 15:30:32] [dummy_scienceqa/liquid_clip_run] epoch=1 step=460 loss=0.9593 acc=0.3961
[2026-02-25 15:30:39] [dummy_scienceqa/liquid_clip_run] epoch=1 step=480 loss=0.9581 acc=0.3975
[2026-02-25 15:30:46] [dummy_scienceqa/liquid_clip_run] epoch=1 step=500 loss=0.9574 acc=0.3985
[2026-02-25 15:30:53] [dummy_scienceqa/liquid_clip_run] epoch=1 step=520 loss=0.9586 acc=0.3970
[2026-02-25 15:31:00] [dummy_scienceqa/liquid_clip_run] epoch=1 step=540 loss=0.9591 acc=0.3962
[2026-02-25 15:31:05] [dummy_scienceqa/liquid_clip_run] epoch=1 step=560 loss=0.9584 acc=0.3963
[2026-02-25 15:31:11] [dummy_scienceqa/liquid_clip_run] epoch=1 step=580 loss=0.9589 acc=0.3973
[2026-02-25 15:31:16] [dummy_scienceqa/liquid_clip_run] epoch=1 step=600 loss=0.9587 acc=0.3969
[2026-02-25 15:31:21] [dummy_scienceqa/liquid_clip_run] epoch=1 step=620 loss=0.9587 acc=0.3987
[2026-02-25 15:31:26] [dummy_scienceqa/liquid_clip_run] epoch=1 step=640 loss=0.9585 acc=0.4000
[2026-02-25 15:31:31] [dummy_scienceqa/liquid_clip_run] epoch=1 step=660 loss=0.9588 acc=0.3987
[2026-02-25 15:31:36] [dummy_scienceqa/liquid_clip_run] epoch=1 step=680 loss=0.9589 acc=0.3983
[2026-02-25 15:31:41] [dummy_scienceqa/liquid_clip_run] epoch=1 step=700 loss=0.9590 acc=0.3981
