/root/miniconda3/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
🔥 [指挥部介入] 正在从真实的 Parquet 矿脉中构建全局词表...
✅ 词表重塑完毕！(模型不再是文盲！)
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa_full/data/train-full.parquet']
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa_full/data/test-full.parquet']
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa_full/data/test-full.parquet']
[2026-02-25 18:19:05] Running dummy_scienceqa/liquid_real_train on device=cuda
[2026-02-25 18:19:08] [dummy_scienceqa/liquid_real_train] epoch=1 step=20 loss=10.0754 acc=0.3937
[2026-02-25 18:19:11] [dummy_scienceqa/liquid_real_train] epoch=1 step=40 loss=11.3929 acc=0.4000
[2026-02-25 18:19:14] [dummy_scienceqa/liquid_real_train] epoch=1 step=60 loss=11.5467 acc=0.4146
[2026-02-25 18:19:17] [dummy_scienceqa/liquid_real_train] epoch=1 step=80 loss=11.5434 acc=0.4203
[2026-02-25 18:19:20] [dummy_scienceqa/liquid_real_train] epoch=1 step=100 loss=11.6546 acc=0.4225
[2026-02-25 18:19:23] [dummy_scienceqa/liquid_real_train] epoch=1 step=120 loss=11.5740 acc=0.4161
[2026-02-25 18:19:26] [dummy_scienceqa/liquid_real_train] epoch=1 step=140 loss=11.7934 acc=0.4129
[2026-02-25 18:19:29] [dummy_scienceqa/liquid_real_train] epoch=1 step=160 loss=11.6604 acc=0.4137
[2026-02-25 18:19:32] [dummy_scienceqa/liquid_real_train] epoch=1 step=180 loss=11.4830 acc=0.4205
[2026-02-25 18:19:34] [dummy_scienceqa/liquid_real_train] epoch=1 step=200 loss=11.2983 acc=0.4234
[2026-02-25 18:19:37] [dummy_scienceqa/liquid_real_train] epoch=1 step=220 loss=11.1258 acc=0.4222
[2026-02-25 18:19:41] [dummy_scienceqa/liquid_real_train] epoch=1 step=240 loss=10.8678 acc=0.4224
[2026-02-25 18:19:44] [dummy_scienceqa/liquid_real_train] epoch=1 step=260 loss=10.7432 acc=0.4226
[2026-02-25 18:19:47] [dummy_scienceqa/liquid_real_train] epoch=1 step=280 loss=10.6391 acc=0.4246
[2026-02-25 18:19:50] [dummy_scienceqa/liquid_real_train] epoch=1 step=300 loss=10.3722 acc=0.4267
[2026-02-25 18:19:53] [dummy_scienceqa/liquid_real_train] epoch=1 step=320 loss=10.1330 acc=0.4275
[2026-02-25 18:19:56] [dummy_scienceqa/liquid_real_train] epoch=1 step=340 loss=9.9646 acc=0.4296
[2026-02-25 18:19:59] [dummy_scienceqa/liquid_real_train] epoch=1 step=360 loss=9.6999 acc=0.4363
[2026-02-25 18:20:02] [dummy_scienceqa/liquid_real_train] epoch=1 step=380 loss=9.5474 acc=0.4385
[2026-02-25 18:20:05] [dummy_scienceqa/liquid_real_train] epoch=1 step=400 loss=9.3778 acc=0.4377
[2026-02-25 18:20:08] [dummy_scienceqa/liquid_real_train] epoch=1 step=420 loss=9.1264 acc=0.4406
[2026-02-25 18:20:11] [dummy_scienceqa/liquid_real_train] epoch=1 step=440 loss=8.8829 acc=0.4419
[2026-02-25 18:20:14] [dummy_scienceqa/liquid_real_train] epoch=1 step=460 loss=8.6826 acc=0.4443
[2026-02-25 18:20:17] [dummy_scienceqa/liquid_real_train] epoch=1 step=480 loss=8.4757 acc=0.4453
[2026-02-25 18:20:20] [dummy_scienceqa/liquid_real_train] epoch=1 step=500 loss=8.2758 acc=0.4484
[2026-02-25 18:20:23] [dummy_scienceqa/liquid_real_train] epoch=1 step=520 loss=8.0740 acc=0.4511
[2026-02-25 18:20:26] [dummy_scienceqa/liquid_real_train] epoch=1 step=540 loss=7.8942 acc=0.4521
[2026-02-25 18:20:29] [dummy_scienceqa/liquid_real_train] epoch=1 step=560 loss=7.7057 acc=0.4535
[2026-02-25 18:20:32] [dummy_scienceqa/liquid_real_train] epoch=1 step=580 loss=7.5164 acc=0.4567
[2026-02-25 18:20:35] [dummy_scienceqa/liquid_real_train] epoch=1 step=600 loss=7.3412 acc=0.4587
[2026-02-25 18:20:38] [dummy_scienceqa/liquid_real_train] epoch=1 step=620 loss=7.1625 acc=0.4616
[2026-02-25 18:20:42] [dummy_scienceqa/liquid_real_train] epoch=1 step=640 loss=6.9986 acc=0.4628
[2026-02-25 18:20:45] [dummy_scienceqa/liquid_real_train] epoch=1 step=660 loss=6.8373 acc=0.4643
[2026-02-25 18:20:48] [dummy_scienceqa/liquid_real_train] epoch=1 step=680 loss=6.6774 acc=0.4676
[2026-02-25 18:20:51] [dummy_scienceqa/liquid_real_train] epoch=1 step=700 loss=6.5368 acc=0.4703
[2026-02-25 18:20:54] [dummy_scienceqa/liquid_real_train] epoch=1 step=720 loss=6.3932 acc=0.4733
[2026-02-25 18:20:58] [dummy_scienceqa/liquid_real_train] epoch=1 step=740 loss=6.2638 acc=0.4737
[2026-02-25 18:21:01] [dummy_scienceqa/liquid_real_train] epoch=1 step=760 loss=6.1346 acc=0.4766
[2026-02-25 18:21:04] [dummy_scienceqa/liquid_real_train] epoch=1 step=780 loss=6.0139 acc=0.4780
[2026-02-25 18:21:42] [dummy_scienceqa/liquid_real_train] epoch=2 step=20 loss=1.2597 acc=0.6156
[2026-02-25 18:21:45] [dummy_scienceqa/liquid_real_train] epoch=2 step=40 loss=1.2487 acc=0.6219
[2026-02-25 18:21:48] [dummy_scienceqa/liquid_real_train] epoch=2 step=60 loss=1.0806 acc=0.6427
[2026-02-25 18:21:51] [dummy_scienceqa/liquid_real_train] epoch=2 step=80 loss=1.0953 acc=0.6539
[2026-02-25 18:21:54] [dummy_scienceqa/liquid_real_train] epoch=2 step=100 loss=1.0968 acc=0.6494
[2026-02-25 18:21:57] [dummy_scienceqa/liquid_real_train] epoch=2 step=120 loss=1.0848 acc=0.6443
[2026-02-25 18:22:00] [dummy_scienceqa/liquid_real_train] epoch=2 step=140 loss=1.0733 acc=0.6451
[2026-02-25 18:22:03] [dummy_scienceqa/liquid_real_train] epoch=2 step=160 loss=1.0630 acc=0.6461
[2026-02-25 18:22:06] [dummy_scienceqa/liquid_real_train] epoch=2 step=180 loss=1.0611 acc=0.6465
[2026-02-25 18:22:09] [dummy_scienceqa/liquid_real_train] epoch=2 step=200 loss=1.0406 acc=0.6519
[2026-02-25 18:22:12] [dummy_scienceqa/liquid_real_train] epoch=2 step=220 loss=1.0284 acc=0.6557
[2026-02-25 18:22:15] [dummy_scienceqa/liquid_real_train] epoch=2 step=240 loss=1.0256 acc=0.6547
[2026-02-25 18:22:18] [dummy_scienceqa/liquid_real_train] epoch=2 step=260 loss=1.0185 acc=0.6548
[2026-02-25 18:22:21] [dummy_scienceqa/liquid_real_train] epoch=2 step=280 loss=1.0046 acc=0.6569
[2026-02-25 18:22:24] [dummy_scienceqa/liquid_real_train] epoch=2 step=300 loss=1.0010 acc=0.6554
[2026-02-25 18:22:26] [dummy_scienceqa/liquid_real_train] epoch=2 step=320 loss=1.0002 acc=0.6531
