/root/miniconda3/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa/data/train-00000-of-00001-1028f23e353fbe3e.parquet']
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa/data/test-00000-of-00001-f0e719df791966ff.parquet']
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa/data/test-00000-of-00001-f0e719df791966ff.parquet']
[2026-02-25 15:55:19] Running dummy_scienceqa/liquid_final_run on device=cpu
[2026-02-25 15:55:25] [dummy_scienceqa/liquid_final_run] epoch=1 step=20 loss=0.9690 acc=0.3875
[2026-02-25 15:55:33] [dummy_scienceqa/liquid_final_run] epoch=1 step=40 loss=0.9576 acc=0.4266
[2026-02-25 15:55:42] [dummy_scienceqa/liquid_final_run] epoch=1 step=60 loss=0.9579 acc=0.3948
[2026-02-25 15:55:51] [dummy_scienceqa/liquid_final_run] epoch=1 step=80 loss=0.9606 acc=0.3906
[2026-02-25 15:56:02] [dummy_scienceqa/liquid_final_run] epoch=1 step=100 loss=0.9588 acc=0.3956
[2026-02-25 15:56:12] [dummy_scienceqa/liquid_final_run] epoch=1 step=120 loss=0.9551 acc=0.3979
[2026-02-25 15:56:22] [dummy_scienceqa/liquid_final_run] epoch=1 step=140 loss=0.9564 acc=0.3973
[2026-02-25 15:56:33] [dummy_scienceqa/liquid_final_run] epoch=1 step=160 loss=0.9560 acc=0.3922
[2026-02-25 15:56:44] [dummy_scienceqa/liquid_final_run] epoch=1 step=180 loss=0.9563 acc=0.3948
[2026-02-25 15:56:56] [dummy_scienceqa/liquid_final_run] epoch=1 step=200 loss=0.9566 acc=0.3984
[2026-02-25 15:57:08] [dummy_scienceqa/liquid_final_run] epoch=1 step=220 loss=0.9562 acc=0.4037
[2026-02-25 15:57:20] [dummy_scienceqa/liquid_final_run] epoch=1 step=240 loss=0.9567 acc=0.4016
[2026-02-25 15:57:33] [dummy_scienceqa/liquid_final_run] epoch=1 step=260 loss=0.9573 acc=0.4031
[2026-02-25 15:57:45] [dummy_scienceqa/liquid_final_run] epoch=1 step=280 loss=0.9564 acc=0.4013
[2026-02-25 15:57:59] [dummy_scienceqa/liquid_final_run] epoch=1 step=300 loss=0.9575 acc=0.3992
[2026-02-25 15:58:11] [dummy_scienceqa/liquid_final_run] epoch=1 step=320 loss=0.9589 acc=0.3975
[2026-02-25 15:58:24] [dummy_scienceqa/liquid_final_run] epoch=1 step=340 loss=0.9584 acc=0.3974
[2026-02-25 15:58:35] [dummy_scienceqa/liquid_final_run] epoch=1 step=360 loss=0.9586 acc=0.3967
[2026-02-25 15:58:45] [dummy_scienceqa/liquid_final_run] epoch=1 step=380 loss=0.9597 acc=0.3944
[2026-02-25 15:58:55] [dummy_scienceqa/liquid_final_run] epoch=1 step=400 loss=0.9603 acc=0.3933
