dataset,experiment,simple_acc,difficulty_acc,noise_10_acc,noise_20_acc
cmmcot,discrete_evolving_attention,0.2,0.25,0.175,0.225
cmmcot,liquid_full,0.2,0.25,0.2,0.225
cmmcot,reflective_cot,0.25,0.3,0.2,0.25
cmmcot,static_cot,0.2,0.25,0.175,0.225
cmmcot,static_self_validation,0.2,0.25,0.2,0.225
cmmcot,w_o_cot_control,0.3,0.4,0.35,0.25
cmmcot,w_o_cross_step,0.2,0.25,0.2,0.225
cmmcot,w_o_multimodal,0.15,0.6,0.375,0.3
cmmcot,w_o_ode,0.2,0.25,0.175,0.225
cmmcot,w_o_self_validation,0.2,0.25,0.2,0.225
mmlu_pro,discrete_evolving_attention,0.45,0.2,0.35,0.325
mmlu_pro,liquid_full,0.4,0.2,0.35,0.325
mmlu_pro,reflective_cot,0.5,0.2,0.35,0.325
mmlu_pro,static_cot,0.45,0.2,0.35,0.325
mmlu_pro,static_self_validation,0.45,0.15,0.35,0.325
mmlu_pro,w_o_cot_control,0.4,0.35,0.3,0.25
mmlu_pro,w_o_cross_step,0.4,0.2,0.35,0.325
mmlu_pro,w_o_multimodal,0.3,0.2,0.35,0.225
mmlu_pro,w_o_ode,0.45,0.2,0.35,0.325
mmlu_pro,w_o_self_validation,0.45,0.2,0.35,0.325
scienceqa,discrete_evolving_attention,0.2,0.15,0.225,0.2
scienceqa,liquid_full,0.2,0.15,0.225,0.2
scienceqa,reflective_cot,0.25,0.3,0.275,0.2
scienceqa,static_cot,0.2,0.15,0.225,0.2
scienceqa,static_self_validation,0.2,0.15,0.225,0.2
scienceqa,w_o_cot_control,0.35,0.25,0.325,0.2
scienceqa,w_o_cross_step,0.2,0.15,0.225,0.2
scienceqa,w_o_multimodal,0.15,0.2,0.25,0.325
scienceqa,w_o_ode,0.2,0.15,0.225,0.2
scienceqa,w_o_self_validation,0.2,0.15,0.225,0.2
